scene_id,dataset,reference_type,metric,expected_direction,n,spearman,pearson,best_cosine_method,best_metric_method
mipnerf360_kitchen,mipnerf360,colmap_sparse_full_scene,fscore_tau0p02,positive,6,-0.6,-0.485605,uniform,random_seed002
mipnerf360_room,mipnerf360,colmap_sparse_full_scene,accuracy_mean_norm,negative,6,-0.485714,-0.615093,uniform,random_seed001
mipnerf360_room,mipnerf360,colmap_sparse_full_scene,accuracy_p90_norm,negative,6,-0.542857,-0.379054,uniform,random_seed002
mipnerf360_room,mipnerf360,colmap_sparse_full_scene,completeness_mean_norm,negative,6,-0.771429,-0.736297,uniform,uniform
mipnerf360_room,mipnerf360,colmap_sparse_full_scene,completeness_p90_norm,negative,6,-0.771429,-0.681296,uniform,uniform
mipnerf360_room,mipnerf360,colmap_sparse_full_scene,chamfer_l1_norm,negative,6,-0.485714,-0.641093,uniform,random_seed001
mipnerf360_room,mipnerf360,colmap_sparse_full_scene,chamfer_l2_norm_sq,negative,6,0.714286,0.572072,uniform,random_seed000
mipnerf360_room,mipnerf360,colmap_sparse_full_scene,precision_tau0p005,positive,6,0.542857,0.422615,uniform,random_seed002
mipnerf360_room,mipnerf360,colmap_sparse_full_scene,recall_tau0p005,positive,6,0.885714,0.718605,uniform,uniform
mipnerf360_room,mipnerf360,colmap_sparse_full_scene,fscore_tau0p005,positive,6,0.542857,0.49404,uniform,random_seed002
mipnerf360_room,mipnerf360,colmap_sparse_full_scene,precision_tau0p01,positive,6,0.542857,0.398462,uniform,random_seed002
mipnerf360_room,mipnerf360,colmap_sparse_full_scene,recall_tau0p01,positive,6,0.885714,0.73802,uniform,uniform
mipnerf360_room,mipnerf360,colmap_sparse_full_scene,fscore_tau0p01,positive,6,0.6,0.447193,uniform,random_seed002
mipnerf360_room,mipnerf360,colmap_sparse_full_scene,precision_tau0p02,positive,6,0.542857,0.339035,uniform,random_seed002
mipnerf360_room,mipnerf360,colmap_sparse_full_scene,recall_tau0p02,positive,6,0.314286,0.278041,uniform,random_seed002
mipnerf360_room,mipnerf360,colmap_sparse_full_scene,fscore_tau0p02,positive,6,0.542857,0.347018,uniform,random_seed002
mipnerf360_stump,mipnerf360,colmap_sparse_full_scene,accuracy_mean_norm,negative,6,0.371429,0.260889,uniform,random_seed003
mipnerf360_stump,mipnerf360,colmap_sparse_full_scene,accuracy_p90_norm,negative,6,0.142857,0.243442,uniform,random_seed003
mipnerf360_stump,mipnerf360,colmap_sparse_full_scene,completeness_mean_norm,negative,6,0.428571,0.376332,uniform,random_seed002
mipnerf360_stump,mipnerf360,colmap_sparse_full_scene,completeness_p90_norm,negative,6,0.428571,0.271563,uniform,random_seed002
mipnerf360_stump,mipnerf360,colmap_sparse_full_scene,chamfer_l1_norm,negative,6,0.6,0.32083,uniform,random_seed001
mipnerf360_stump,mipnerf360,colmap_sparse_full_scene,chamfer_l2_norm_sq,negative,6,0.714286,0.419958,uniform,random_seed001
mipnerf360_stump,mipnerf360,colmap_sparse_full_scene,precision_tau0p005,positive,6,0.314286,0.283197,uniform,uniform
mipnerf360_stump,mipnerf360,colmap_sparse_full_scene,recall_tau0p005,positive,6,-0.2,-0.240504,uniform,random_seed002
mipnerf360_stump,mipnerf360,colmap_sparse_full_scene,fscore_tau0p005,positive,6,0.085714,0.211946,uniform,uniform
mipnerf360_stump,mipnerf360,colmap_sparse_full_scene,precision_tau0p01,positive,6,0.085714,0.015023,uniform,uniform
mipnerf360_stump,mipnerf360,colmap_sparse_full_scene,recall_tau0p01,positive,6,-0.485714,-0.338512,uniform,random_seed001
mipnerf360_stump,mipnerf360,colmap_sparse_full_scene,fscore_tau0p01,positive,6,-0.371429,-0.109235,uniform,random_seed003
mipnerf360_stump,mipnerf360,colmap_sparse_full_scene,precision_tau0p02,positive,6,-0.142857,-0.157165,uniform,random_seed003
mipnerf360_stump,mipnerf360,colmap_sparse_full_scene,recall_tau0p02,positive,6,-0.428571,-0.470531,uniform,random_seed002
mipnerf360_stump,mipnerf360,colmap_sparse_full_scene,fscore_tau0p02,positive,6,-0.314286,-0.304279,uniform,random_seed003
mipnerf360_treehill,mipnerf360,colmap_sparse_full_scene,accuracy_mean_norm,negative,6,-0.085714,-0.144586,uniform,random_seed003
mipnerf360_treehill,mipnerf360,colmap_sparse_full_scene,accuracy_p90_norm,negative,6,0.2,0.339453,uniform,random_seed003
mipnerf360_treehill,mipnerf360,colmap_sparse_full_scene,completeness_mean_norm,negative,6,-0.542857,-0.341939,uniform,random_seed002
mipnerf360_treehill,mipnerf360,colmap_sparse_full_scene,completeness_p90_norm,negative,6,-0.6,-0.659824,uniform,random_seed002
mipnerf360_treehill,mipnerf360,colmap_sparse_full_scene,chamfer_l1_norm,negative,6,-0.085714,-0.161627,uniform,random_seed003
mipnerf360_treehill,mipnerf360,colmap_sparse_full_scene,chamfer_l2_norm_sq,negative,6,-0.257143,-0.23923,uniform,random_seed002
mipnerf360_treehill,mipnerf360,colmap_sparse_full_scene,precision_tau0p005,positive,6,-0.6,-0.652248,uniform,random_seed003
mipnerf360_treehill,mipnerf360,colmap_sparse_full_scene,recall_tau0p005,positive,6,0.542857,0.673851,uniform,random_seed002
mipnerf360_treehill,mipnerf360,colmap_sparse_full_scene,fscore_tau0p005,positive,6,-0.542857,-0.590034,uniform,random_seed003
mipnerf360_treehill,mipnerf360,colmap_sparse_full_scene,precision_tau0p01,positive,6,-0.542857,-0.415012,uniform,random_seed003
mipnerf360_treehill,mipnerf360,colmap_sparse_full_scene,recall_tau0p01,positive,6,0.771429,0.861147,uniform,random_seed002
mipnerf360_treehill,mipnerf360,colmap_sparse_full_scene,fscore_tau0p01,positive,6,-0.542857,-0.338141,uniform,random_seed003
mipnerf360_treehill,mipnerf360,colmap_sparse_full_scene,precision_tau0p02,positive,6,-0.257143,-0.238795,uniform,random_seed003
mipnerf360_treehill,mipnerf360,colmap_sparse_full_scene,recall_tau0p02,positive,6,-0.028571,-0.084891,uniform,uniform
mipnerf360_treehill,mipnerf360,colmap_sparse_full_scene,fscore_tau0p02,positive,6,-0.428571,-0.247329,uniform,random_seed003
tandt_train,tandt,colmap_sparse_full_scene,accuracy_mean_norm,negative,6,-0.085714,-0.288176,uniform,random_seed001
tandt_train,tandt,colmap_sparse_full_scene,accuracy_p90_norm,negative,6,0.428571,0.737346,uniform,random_seed004
tandt_train,tandt,colmap_sparse_full_scene,completeness_mean_norm,negative,6,0.257143,0.136731,uniform,random_seed002
tandt_train,tandt,colmap_sparse_full_scene,completeness_p90_norm,negative,6,0.028571,-0.245455,uniform,random_seed000
tandt_train,tandt,colmap_sparse_full_scene,chamfer_l1_norm,negative,6,-0.085714,-0.290507,uniform,random_seed001
tandt_train,tandt,colmap_sparse_full_scene,chamfer_l2_norm_sq,negative,6,-0.314286,-0.473353,uniform,random_seed001
tandt_train,tandt,colmap_sparse_full_scene,precision_tau0p005,positive,6,-0.828571,-0.776298,uniform,random_seed000
tandt_train,tandt,colmap_sparse_full_scene,recall_tau0p005,positive,6,-0.318874,-0.243846,uniform,random_seed002
tandt_train,tandt,colmap_sparse_full_scene,fscore_tau0p005,positive,6,-0.828571,-0.75254,uniform,random_seed000
tandt_train,tandt,colmap_sparse_full_scene,precision_tau0p01,positive,6,-0.485714,-0.564636,uniform,random_seed002
tandt_train,tandt,colmap_sparse_full_scene,recall_tau0p01,positive,6,-0.885714,-0.745652,uniform,random_seed002
tandt_train,tandt,colmap_sparse_full_scene,fscore_tau0p01,positive,6,-0.714286,-0.686526,uniform,random_seed002
tandt_train,tandt,colmap_sparse_full_scene,precision_tau0p02,positive,6,0.142857,-0.14731,uniform,random_seed004
tandt_train,tandt,colmap_sparse_full_scene,recall_tau0p02,positive,6,-0.428571,-0.260335,uniform,random_seed000
tandt_train,tandt,colmap_sparse_full_scene,fscore_tau0p02,positive,6,0.142857,-0.312863,uniform,random_seed004
tandt_truck,tandt,colmap_sparse_full_scene,accuracy_mean_norm,negative,6,-0.085714,-0.050343,uniform,random_seed001
tandt_truck,tandt,colmap_sparse_full_scene,accuracy_p90_norm,negative,6,-0.2,-0.088596,uniform,random_seed001
tandt_truck,tandt,colmap_sparse_full_scene,completeness_mean_norm,negative,6,-0.085714,-0.11196,uniform,random_seed004
tandt_truck,tandt,colmap_sparse_full_scene,completeness_p90_norm,negative,6,0.085714,0.255777,uniform,random_seed002
tandt_truck,tandt,colmap_sparse_full_scene,chamfer_l1_norm,negative,6,-0.085714,-0.072721,uniform,random_seed001
tandt_truck,tandt,colmap_sparse_full_scene,chamfer_l2_norm_sq,negative,6,0.085714,-0.031289,uniform,random_seed002
tandt_truck,tandt,colmap_sparse_full_scene,precision_tau0p005,positive,6,0.2,0.085676,uniform,random_seed001
tandt_truck,tandt,colmap_sparse_full_scene,recall_tau0p005,positive,6,-0.2,-0.058492,uniform,random_seed002
tandt_truck,tandt,colmap_sparse_full_scene,fscore_tau0p005,positive,6,-0.085714,0.062631,uniform,random_seed003
tandt_truck,tandt,colmap_sparse_full_scene,precision_tau0p01,positive,6,-0.2,-0.217631,uniform,random_seed001
tandt_truck,tandt,colmap_sparse_full_scene,recall_tau0p01,positive,6,-0.314286,-0.445042,uniform,random_seed000
tandt_truck,tandt,colmap_sparse_full_scene,fscore_tau0p01,positive,6,-0.485714,-0.525605,uniform,random_seed003
tandt_truck,tandt,colmap_sparse_full_scene,precision_tau0p02,positive,6,-0.257143,-0.24698,uniform,random_seed001
tandt_truck,tandt,colmap_sparse_full_scene,recall_tau0p02,positive,6,-0.142857,-0.193848,uniform,random_seed004
tandt_truck,tandt,colmap_sparse_full_scene,fscore_tau0p02,positive,6,-0.6,-0.557141,uniform,random_seed004
