scene_id,dataset,method,image_count,reference_type,register_mean_cosine,psnr,ssim,lpips,reference_scale,subset_points_raw,reference_points_raw,subset_points_sampled,reference_points_sampled,accuracy_mean_norm,accuracy_p90_norm,completeness_mean_norm,completeness_p90_norm,chamfer_l1_norm,chamfer_l2_norm_sq,precision_tau0p005,recall_tau0p005,fscore_tau0p005,precision_tau0p01,recall_tau0p01,fscore_tau0p01,precision_tau0p02,recall_tau0p02,fscore_tau0p02
mipnerf360_room,mipnerf360,random_seed002,55,colmap_sparse_full_scene,0.994736,26.992758,0.887186,0.174425,56.32,143262,112627,8000,8000,0.00555254,0.00861164,0.00175698,0.00329537,0.00365476,0.0012677447,0.814125,0.9565,0.87958835,0.912125,0.99,0.94946836,0.959625,0.9975,0.97819601
mipnerf360_room,mipnerf360,random_seed003,55,colmap_sparse_full_scene,0.988807,26.823437,0.879888,0.18478,56.32,146326,112627,8000,8000,0.00683414,0.01075148,0.00182363,0.00335979,0.00432889,0.0009103691,0.791375,0.95575,0.86583004,0.89375,0.98825,0.93862746,0.949,0.996,0.97193213
mipnerf360_room,mipnerf360,random_seed004,55,colmap_sparse_full_scene,0.995604,27.222418,0.886182,0.177315,56.32,145386,112627,8000,8000,0.00657903,0.00956321,0.00176245,0.00331524,0.00417074,0.0013627009,0.806625,0.96,0.87665464,0.904,0.99075,0.9453891,0.953375,0.997125,0.97475934
mipnerf360_room,mipnerf360,uniform,55,colmap_sparse_full_scene,0.999267,27.721422,0.884733,0.172846,56.32,138226,112627,8000,8000,0.0052301,0.00914055,0.0017462,0.00326776,0.00348815,0.00334612,0.80725,0.963625,0.87853325,0.907375,0.99225,0.9479164,0.959125,0.9965,0.97745535
mipnerf360_stump,mipnerf360,random_seed000,22,colmap_sparse_full_scene,0.95998,19.510977,0.397058,0.451526,248.434494,479634,32049,8000,8000,0.01052764,0.02919925,0.00220215,0.0061935,0.0063649,0.0003182102,0.58925,0.87225,0.70335041,0.714,0.9495,0.81508025,0.835875,0.989875,0.90638013
mipnerf360_stump,mipnerf360,random_seed001,22,colmap_sparse_full_scene,0.991016,19.280323,0.377622,0.463659,248.434494,448305,32049,8000,8000,0.00967063,0.02829568,0.00206448,0.005901,0.00586756,0.0002118652,0.614,0.879,0.72298192,0.73975,0.95625,0.83418153,0.85,0.990875,0.91504719
mipnerf360_stump,mipnerf360,random_seed002,22,colmap_sparse_full_scene,0.991921,19.280373,0.39637,0.456066,248.434494,456989,32049,8000,8000,0.0127044,0.03587298,0.00202524,0.00571877,0.00736482,0.0003725825,0.56325,0.881125,0.68720887,0.671625,0.955125,0.78867168,0.792625,0.993,0.8815699
mipnerf360_stump,mipnerf360,random_seed003,22,colmap_sparse_full_scene,0.98071,19.716484,0.423627,0.448597,248.434494,413674,32049,8000,8000,0.0093691,0.02452533,0.00237071,0.00669705,0.0058699,0.0003147181,0.640625,0.8605,0.73445957,0.749,0.943,0.83487825,0.859625,0.98425,0.91772588
mipnerf360_stump,mipnerf360,random_seed004,22,colmap_sparse_full_scene,0.993433,19.686794,0.460225,0.420709,248.434494,394494,32049,8000,8000,0.01336613,0.03548143,0.00313565,0.00967655,0.00825089,0.0006181972,0.6075,0.826125,0.70014256,0.698375,0.903375,0.78775654,0.813125,0.9675,0.88362057
mipnerf360_stump,mipnerf360,uniform,22,colmap_sparse_full_scene,0.998197,19.748934,0.438756,0.436072,248.434494,393654,32049,8000,8000,0.01005905,0.02687575,0.00278396,0.00685978,0.0064215,0.0004962586,0.655875,0.861,0.74456811,0.751,0.931125,0.83141844,0.852,0.96925,0.90685079
mipnerf360_treehill,mipnerf360,random_seed000,25,colmap_sparse_full_scene,0.968526,17.243147,0.38401,0.475255,264.61908,573311,52363,8000,8000,0.01362047,0.02605758,0.00120002,0.00214293,0.00741024,0.0008034619,0.639125,0.953,0.7651235,0.7945,0.979125,0.87720326,0.875625,0.993875,0.93101021
mipnerf360_treehill,mipnerf360,random_seed001,25,colmap_sparse_full_scene,0.982349,16.915873,0.371165,0.47769,264.61908,561976,52363,8000,8000,0.01362706,0.0248803,0.00137182,0.00216417,0.00749944,0.0012153483,0.63025,0.952625,0.75860937,0.7845,0.982,0.87220945,0.87675,0.990125,0.92999488
mipnerf360_treehill,mipnerf360,random_seed002,25,colmap_sparse_full_scene,0.995449,17.31086,0.401679,0.464968,264.61908,665438,52363,8000,8000,0.01126097,0.02194178,0.00111159,0.00209428,0.00618628,0.0005026249,0.626375,0.964625,0.75954366,0.8075,0.986125,0.88791797,0.8935,0.992625,0.94045775
mipnerf360_treehill,mipnerf360,random_seed003,25,colmap_sparse_full_scene,0.97289,17.488888,0.39512,0.464657,264.61908,614637,52363,8000,8000,0.01102929,0.0203178,0.00116977,0.0022744,0.00609953,0.0005164626,0.66175,0.95875,0.7830334,0.824375,0.98325,0.89683061,0.899625,0.994,0.94446076
mipnerf360_treehill,mipnerf360,random_seed004,25,colmap_sparse_full_scene,0.98229,17.73278,0.38658,0.466078,264.61908,644864,52363,8000,8000,0.01459614,0.02570449,0.00119088,0.00217125,0.00789351,0.0012185215,0.599625,0.953625,0.73628507,0.785125,0.984625,0.8736304,0.88125,0.993375,0.93395929
mipnerf360_treehill,mipnerf360,uniform,25,colmap_sparse_full_scene,0.997604,17.414686,0.390676,0.46686,264.61908,644864,52363,8000,8000,0.01300644,0.0300618,0.00113561,0.00211151,0.00707102,0.0005786021,0.600625,0.960625,0.7391198,0.77225,0.985875,0.866084,0.866,0.99425,0.92570407
tandt_train,tandt,random_seed000,53,colmap_sparse_full_scene,0.989091,18.199142,0.703234,0.223335,436.809143,90797,182686,8000,8000,0.00240762,0.00184407,0.00058166,0.00045795,0.00149464,0.0002635589,0.947625,0.982625,0.96480768,0.96625,0.9875,0.97675944,0.98275,0.9955,0.98908391
tandt_train,tandt,random_seed001,53,colmap_sparse_full_scene,0.995689,17.569967,0.674771,0.246098,436.809143,92583,182686,8000,8000,0.00179364,0.001854,0.00066966,0.00048318,0.00123165,7.73542e-05,0.9465,0.982625,0.96422426,0.966375,0.98625,0.97621135,0.983,0.992125,0.98754142
tandt_train,tandt,random_seed002,53,colmap_sparse_full_scene,0.989127,17.989454,0.686448,0.2354,436.809143,86810,182686,8000,8000,0.00247343,0.00170901,0.00056939,0.00048658,0.00152141,0.0004417769,0.94675,0.9835,0.96477516,0.966875,0.988375,0.97750679,0.98425,0.99475,0.98947215
tandt_train,tandt,random_seed003,53,colmap_sparse_full_scene,0.989131,18.028139,0.692657,0.231441,436.809143,87334,182686,8000,8000,0.00356658,0.00169905,0.00058323,0.00049538,0.0020749,0.00083116,0.946125,0.98175,0.96360834,0.9635,0.987125,0.97516943,0.98475,0.994375,0.9895391
tandt_train,tandt,random_seed004,53,colmap_sparse_full_scene,0.99219,18.401129,0.702205,0.223091,436.809143,86412,182686,8000,8000,0.00208012,0.00164544,0.00078107,0.00049156,0.0014306,0.0002129369,0.943625,0.982,0.96243012,0.96525,0.986875,0.97594272,0.986,0.993375,0.98967376
tandt_train,tandt,uniform,53,colmap_sparse_full_scene,0.998667,18.248096,0.724853,0.205834,436.809143,91343,182686,8000,8000,0.00277419,0.00202024,0.0005706,0.00046681,0.00167239,0.0003410579,0.939,0.982125,0.96007847,0.961125,0.986625,0.97370808,0.983875,0.99525,0.98952981
tandt_truck,tandt,random_seed000,44,colmap_sparse_full_scene,0.993438,22.640606,0.848183,0.109094,351.765625,74429,136029,8000,8000,0.00260387,0.00360272,0.00084038,0.00204217,0.00172213,0.0001347966,0.92525,0.972625,0.94834621,0.962375,0.993625,0.97775037,0.982625,0.998125,0.99031435
tandt_truck,tandt,random_seed001,44,colmap_sparse_full_scene,0.99861,22.325542,0.843079,0.111508,351.765625,71790,136029,8000,8000,0.00215064,0.00329442,0.00101049,0.00203366,0.00158057,0.0001773732,0.93775,0.97225,0.95468842,0.970375,0.98875,0.97947633,0.988375,0.99325,0.9908065
tandt_truck,tandt,random_seed002,44,colmap_sparse_full_scene,0.997533,22.889698,0.855939,0.105652,351.765625,72867,136029,8000,8000,0.00233889,0.00340201,0.00090449,0.00201647,0.00162169,0.0001098154,0.934875,0.975625,0.95481541,0.967125,0.991875,0.97934365,0.983,0.996375,0.98964231
tandt_truck,tandt,random_seed003,44,colmap_sparse_full_scene,0.989295,22.758966,0.851935,0.106993,351.765625,71764,136029,8000,8000,0.00242299,0.00341506,0.00096682,0.00205065,0.00169491,0.0002370075,0.936,0.974625,0.95492208,0.97,0.992625,0.98118209,0.986,0.99575,0.99085102
tandt_truck,tandt,random_seed004,44,colmap_sparse_full_scene,0.995101,23.00992,0.852795,0.104746,351.765625,73466,136029,8000,8000,0.0037247,0.0034311,0.0008267,0.00205371,0.0022757,0.0009022882,0.929125,0.9725,0.95031782,0.96375,0.992,0.97767097,0.983875,0.9985,0.99113355
tandt_truck,tandt,uniform,44,colmap_sparse_full_scene,0.999316,23.081297,0.864589,0.096415,351.765625,74267,136029,8000,8000,0.00280312,0.00357559,0.00083318,0.0021271,0.00181815,0.0003275181,0.930375,0.97425,0.95180715,0.962125,0.992875,0.97725817,0.979875,0.99725,0.98848615
